"2026-01-02","E-TRANSFER ***e7E",,"1500","12889.26"
"2026-01-02","E-TRANSFER ***XaB",,"425","13314.26"
"2026-01-02","SQ *OPEN DOOR P   _F","10",,"13304.26"
"2026-01-02","E-TRANSFER ***GKw",,"1925","15229.26"
"2026-01-02","SEND E-TFR ***2Nv","110",,"15119.26"
"2026-01-02","FN               MTG","1995.21",,"13124.05"
"2026-01-02","604 Real Estate  MSP","579",,"12545.05"
"2026-01-02","THE OWNERS COMM  FEE","765.26",,"11779.79"
"2026-01-02","TD VISA PREAUTH PYMT","2294.69",,"9485.1"
"2026-01-09","SEND E-TFR ***rY7","90",,"9395.1"
"2026-01-16","SEND E-TFR ***4QW","100",,"9295.1"
"2026-01-21","B.C. HYDRO-PAP   BPY","243.9",,"9051.2"
"2026-01-23","SEND E-TFR ***jAp","100",,"8951.2"
"2026-01-26","PTS TO:  96386159223","50",,"8901.2"
"2026-01-26","RI463 TFR-FR 6691643",,"3000","11901.2"
"2026-01-29","VANCOU TAX   A5A3Q7","1232.74",,"10668.46"
"2026-01-29","VANCOU TAX   A5A3Q3","1310",,"9358.46"
"2026-01-29","PTS FRM: 94486691643",,"1500","10858.46"
"2026-01-30","SEND E-TFR ***XPb","110",,"10748.46"
"2026-01-30","MONTHLY ACCOUNT FEE","30.95",,"10717.51"
"2026-01-30","ACCT BAL REBATE",,"30.95","10748.46"
"2026-02-02","E-TRANSFER ***9VY",,"425","11173.46"
"2026-02-02","E-TRANSFER ***dB4",,"1500","12673.46"
"2026-02-02","E-TRANSFER ***ceJ",,"1925","14598.46"
"2026-02-02","FN               MTG","1995.21",,"12603.25"
"2026-02-02","604 Real Estate  MSP","579",,"12024.25"
"2026-02-02","THE OWNERS COMM  FEE","765.26",,"11258.99"
"2026-02-02","TD VISA PREAUTH PYMT","4093.33",,"7165.66"
"2026-02-06","SEND E-TFR ***4FV","100",,"7065.66"
"2026-02-12","NON-TD ATM W/D","303.5",,"6762.16"
"2026-02-13","SEND E-TFR ***n36","100",,"6662.16"
"2026-02-17","SEND E-TFR ***cjH","66",,"6596.16"
"2026-02-19","B.C. HYDRO-PAP   BPY","309.24",,"6286.92"
"2026-02-20","SEND E-TFR ***Gns","100",,"6186.92"
"2026-02-25","PTS TO:  96386159223","50",,"6136.92"
"2026-02-25","E-TRANSFER ***Zn3",,"3000","9136.92"
"2026-02-26","HC103 TFR-TO 6556074","1000",,"8136.92"
"2026-02-27","SEND E-TFR ***HzY","100",,"8036.92"
"2026-02-27","MONTHLY ACCOUNT FEE","30.95",,"8005.97"
"2026-02-27","ACCT BAL REBATE",,"30.95","8036.92"
"2026-03-02","E-TRANSFER ***HMP",,"1500","9536.92"
"2026-03-02","E-TRANSFER ***NBn",,"425","9961.92"
"2026-03-02","E-TRANSFER ***558",,"1925","11886.92"
"2026-03-02","PTS FRM: 94486691643",,"1500","13386.92"
"2026-03-02","RW195 TFR-FR 6556074",,"2500","15886.92"
"2026-03-02","FN               MTG","1995.21",,"13891.71"
"2026-03-02","604 Real Estate  MSP","579",,"13312.71"
"2026-03-02","THE OWNERS COMM  FEE","765.26",,"12547.45"
"2026-03-06","SEND E-TFR ***DX7","100",,"12447.45"
"2026-03-13","COTTON MOUTH SM   _F","57.96",,"12389.49"
"2026-03-13","SEND E-TFR ***3X5","120",,"12269.49"
"2026-03-16","SEND E-TFR ***MXj","59",,"12210.49"
"2026-03-20","SEND E-TFR ***hxH","110",,"12100.49"
"2026-03-23","B.C. HYDRO-PAP   BPY","254.13",,"11846.36"
"2026-03-24","TD VISA PREAUTH PYMT","6856.19",,"4990.17"
"2026-03-25","PTS TO:  96386159223","50",,"4940.17"
"2026-03-30","PTS FRM: 94486691643",,"1500","6440.17"
"2026-03-31","MONTHLY ACCOUNT FEE","30.95",,"6409.22"
"2026-04-01","E-TRANSFER ***wB6",,"425","6834.22"
"2026-04-01","E-TRANSFER ***hNC",,"1500","8334.22"
"2026-04-01","E-TRANSFER ***swV",,"1925","10259.22"
"2026-04-01","FN               MTG","1995.21",,"8264.01"
"2026-04-01","604 Real Estate  MSP","579",,"7685.01"
"2026-04-02","THE OWNERS COMM  FEE","765.26",,"6919.75"
"2026-04-06","SEND E-TFR ***xxK","110",,"6809.75"
"2026-04-10","JW035 TFR-FR 6556074",,"1500","8309.75"
"2026-04-10","SEND E-TFR ***kP6","100",,"8209.75"
"2026-04-17","SEND E-TFR ***RMB","100",,"8109.75"
"2026-04-21","WW205 TFR-TO 6556074","56",,"8053.75"
"2026-04-21","B.C. HYDRO-PAP   BPY","240.81",,"7812.94"
"2026-04-24","SEND E-TFR ***qnE","100",,"7712.94"
"2026-04-27","PTS TO:  96386159223","50",,"7662.94"
"2026-04-27","TD VISA PREAUTH PYMT","4592.01",,"3070.93"
"2026-04-29","PTS FRM: 94486691643",,"1500","4570.93"
"2026-04-30","TD ATM DEP    004178",,"181.61","4752.54"
"2026-04-30","MONTHLY ACCOUNT FEE","30.95",,"4721.59"
"2026-05-01","E-TRANSFER ***xXk",,"425","5146.59"
"2026-05-01","E-TRANSFER ***YxJ",,"1500","6646.59"
"2026-05-01","E-TRANSFER ***Nqf",,"1925","8571.59"
"2026-05-01","FN               MTG","1995.21",,"6576.38"
"2026-05-01","604 Real Estate  MSP","579",,"5997.38"
"2026-05-04","SEND E-TFR ***jpN","130",,"5867.38"
"2026-05-04","THE OWNERS COMM  FEE","765.26",,"5102.12"
"2026-05-07","TAX REFUND       RIT",,"172.36","5274.48"
"2026-05-07","TAX REFUND       RIT",,"3141.85","8416.33"
"2026-05-08","SEND E-TFR ***kTa","135",,"8281.33"
"2026-05-15","SEND E-TFR ***hWN","120",,"8161.33"
"2026-05-19","SEND E-TFR ***fbP","50",,"8111.33"
"2026-05-21","B.C. HYDRO-PAP   BPY","213.21",,"7898.12"
"2026-05-22","SEND E-TFR ***j2f","120",,"7778.12"
"2026-05-25","THE CANDY JAR     _F","5.99",,"7772.13"
"2026-05-25","PTS TO:  96386159223","50",,"7722.13"
"2026-05-25","TD VISA PREAUTH PYMT","2853.86",,"4868.27"
"2026-05-28","IW403 TFR-FR 6691643",,"2000","6868.27"
"2026-05-29","PTS FRM: 94486691643",,"1500","8368.27"
"2026-05-29","SEND E-TFR ***Dyf","100",,"8268.27"
"2026-05-29","MONTHLY ACCOUNT FEE","30.95",,"8237.32"
"2026-06-01","E-TRANSFER ***t5t",,"1925","10162.32"
"2026-06-01","FN               MTG","1995.21",,"8167.11"
"2026-06-01","604 Real Estate  MSP","579",,"7588.11"
"2026-06-01","THE OWNERS COMM  FEE","765.26",,"6822.85"
"2026-06-04","E-TRANSFER ***fsf",,"1925","8747.85"
"2026-06-08","RR504 TFR-FR 6556074",,"1500","10247.85"
"2026-06-09","WX322 TFR-TO 6556074","182",,"10065.85"
"2026-06-12","E-TRANSFER ***EzX",,"20000","30065.85"
"2026-06-15","E-TRANSFER ***yks",,"9803.36","39869.21"
"2026-06-15","RL203 TFR-TO 6556074","10000",,"29869.21"
"2026-06-22","B.C. HYDRO-PAP   BPY","67.55",,"29801.66"
"2026-06-23","TD ATM DEP    001238",,"1769.23","31570.89"
"2026-06-23","WQ452 TFR-TO 6556074","1770",,"29800.89"
"2026-06-24","TD VISA PREAUTH PYMT","3696.6",,"26104.29"
"2026-06-25","PTS TO:  96386159223","50",,"26054.29"
"2026-06-25","IL455 TFR-FR 6556074",,"35","26089.29"
"2026-06-29","PTS FRM: 94486691643",,"1500","27589.29"
"2026-06-30","MONTHLY ACCOUNT FEE","30.95",,"27558.34"
"2026-06-30","ACCT BAL REBATE",,"30.95","27589.29"
"2026-07-02","E-TRANSFER ***vem",,"3850","31439.29"
"2026-07-02","FN               MTG","1995.21",,"29444.08"
"2026-07-02","604 Real Estate  MSP","579",,"28865.08"
"2026-07-02","VANCOU TAX   Z9W4W3","562.23",,"28302.85"
"2026-07-02","VANCOU TAX   Z9W4X9","1344.34",,"26958.51"
"2026-07-02","VANCOU TAX   Z9W4Z5","570",,"26388.51"
"2026-07-06","THE OWNERS COMM  FEE","765.26",,"25623.25"
