source_file,title,disposition,detail,destination,archived_to
10 Killer Uses for Midjourney's Describe Tool 6c2017fc4b2d4edfb4f9459d07f35488.md,10 Killer Uses for Midjourney's Describe Tool,ingested-entity-card,,Knowledge/AI-Image-Midjourney/10-killer-uses-for-midjourney-s-describe-tool.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/10 Killer Uses for Midjourney's Describe Tool 6c2017fc4b2d4edfb4f9459d07f35488.md
10 Morning Habits That Will Make You Happier 2ceb4695a24d8044b719c1c2cafcdb12.md,10 Morning Habits That Will Make You Happier,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/10 Morning Habits That Will Make You Happier 2ceb4695a24d8044b719c1c2cafcdb12.md
11 Super Useful DaVinci Resolve Editing Tips and T 333b4695a24d81a4b043e5dbf8ca639e.md,11 Super Useful DaVinci Resolve Editing Tips and Tricks,ingested-entity-card,,Knowledge/DaVinci-Resolve/11-super-useful-davinci-resolve-editing-tips-and-tricks.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/11 Super Useful DaVinci Resolve Editing Tips and T 333b4695a24d81a4b043e5dbf8ca639e.md
13 Books to Read Before 30 2adb4695a24d80e18498ed7e77d6c3e0.md,13 Books to Read Before 30,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/13 Books to Read Before 30 2adb4695a24d80e18498ed7e77d6c3e0.md
3 levels of friendship 176b4695a24d80c0a23ee94950c71929.md,3 levels of friendship,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/3 levels of friendship 176b4695a24d80c0a23ee94950c71929.md
30+ new Notion features you should know about 182b4695a24d811f8ff6c6ad147cb767.md,30+ new Notion features you should know about,ingested-entity-card,,Knowledge/General-AI-VFX/30-new-notion-features-you-should-know-about.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/30+ new Notion features you should know about 182b4695a24d811f8ff6c6ad147cb767.md
30+ new Notion features you should know about 184b4695a24d81ceab9ff5fde8f64a09.md,30+ new Notion features you should know about,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/30+ new Notion features you should know about 184b4695a24d81ceab9ff5fde8f64a09.md
3D AI Studio - Create Custom 3D Models with AI 25a209b631f24e3f91a9e2dbabeabcbf.md,3D AI Studio - Create Custom 3D Models with AI,ingested-substantive-note,,Notes/Notion-Dump/3d-ai-studio-create-custom-3d-models-with-ai.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/3D AI Studio - Create Custom 3D Models with AI 25a209b631f24e3f91a9e2dbabeabcbf.md
3D-RE-GEN 2ddb4695a24d818f9edbe8afbcbdf010.md,3D-RE-GEN,ingested-entity-card,,Knowledge/AI-3D/3d-re-gen.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/3D-RE-GEN 2ddb4695a24d818f9edbe8afbcbdf010.md
4 advanced ChatGPT hacks 2adb4695a24d809ebdb2e96138b3ae56.md,4 advanced ChatGPT hacks,ingested-entity-card,,Knowledge/AI-Agents/4-advanced-chatgpt-hacks.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/4 advanced ChatGPT hacks 2adb4695a24d809ebdb2e96138b3ae56.md
5 line story 252b4695a24d80888801d457e7ac6b03.md,5 line story,ingested-entity-card,,Knowledge/General-AI-VFX/5-line-story.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/5 line story 252b4695a24d80888801d457e7ac6b03.md
9 Web Design Trends 2025 to Spruce Up Your Site 180b4695a24d813c8aa4c4a2ec1f2cc6.md,9 Web Design Trends 2025 to Spruce Up Your Site,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/9 Web Design Trends 2025 to Spruce Up Your Site 180b4695a24d813c8aa4c4a2ec1f2cc6.md
9 simple shots 252b4695a24d80bcb3c2f0f309e500d5.md,9 simple shots,ingested-entity-card,,Knowledge/General-AI-VFX/9-simple-shots.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/9 simple shots 252b4695a24d80bcb3c2f0f309e500d5.md
A Hierarchical 3D Gaussian Representation for Real 94c39578265045a9bf61baa7bf8e54b6.md,A Hierarchical 3D Gaussian Representation for Real-Time Rendering of,ingested-substantive-note,,Notes/Notion-Dump/a-hierarchical-3d-gaussian-representation-for-real-time-rendering-of.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/A Hierarchical 3D Gaussian Representation for Real 94c39578265045a9bf61baa7bf8e54b6.md
A Hierarchical 3D Gaussian Representation for Real a35bbcc5db76401fb67cab1589366629.md,A Hierarchical 3D Gaussian Representation for Real-Time Rendering of,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/A Hierarchical 3D Gaussian Representation for Real a35bbcc5db76401fb67cab1589366629.md
A I Is FINALLY Coming to Maya! - YouTube - askNK 56d07e1b94a2481e91e60bc2c80cca9d.md,A.I Is FINALLY Coming to Maya! - YouTube - askNK,ingested-entity-card,,Knowledge/VFX/a-i-is-finally-coming-to-maya-youtube-asknk.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-01/A I Is FINALLY Coming to Maya! - YouTube - askNK 56d07e1b94a2481e91e60bc2c80cca9d.md
