source_file,title,disposition,detail,destination,archived_to
Suno Song Creation Compendium (Suno 5 5-first) 338b4695a24d813b894ed822b626d04b.md,Suno Song Creation Compendium (Suno 5.5-first),already-ingested,word-match:Notes/suno-song-creation-compendium.md:0.80,,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Suno Song Creation Compendium (Suno 5 5-first) 338b4695a24d813b894ed822b626d04b.md
Superb Video to AI Animation Tool - DomoAI - YouTu 3b13e58d16a542bca982ebfcc2d83d65.md,Superb Video to AI Animation Tool - DomoAI - YouTube - AIAnimation - Jon Draper,ingested-entity-card,,Knowledge/AI-Video/superb-video-to-ai-animation-tool-domoai-youtube-aianimation-jon-draper.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Superb Video to AI Animation Tool - DomoAI - YouTu 3b13e58d16a542bca982ebfcc2d83d65.md
SynCHMR 64bdfd756add4a79b693159b18e09d5a.md,SynCHMR,ingested-entity-card,,Knowledge/AI-Video/synchmr.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/SynCHMR 64bdfd756add4a79b693159b18e09d5a.md
TOP ChatGPT Tips for AI Art & Midjourney! 19fb4695a24d81fa997af21f28d2e63d.md,TOP ChatGPT Tips for AI Art & Midjourney!,ingested-entity-card,,Knowledge/AI-Image-Midjourney/top-chatgpt-tips-for-ai-art-and-midjourney.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/TOP ChatGPT Tips for AI Art & Midjourney! 19fb4695a24d81fa997af21f28d2e63d.md
TRELLIS 2 2d5b4695a24d81e9a1e5ce9e145672f0.md,TRELLIS.2,ingested-entity-card,,Knowledge/AI-3D/trellis-2.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/TRELLIS 2 2d5b4695a24d81e9a1e5ce9e145672f0.md
Teachable Machine d19a38f3c2ab42bb8bd9a781225c6adc.md,Teachable Machine,ingested-substantive-note,,Notes/Notion-Dump/teachable-machine.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Teachable Machine d19a38f3c2ab42bb8bd9a781225c6adc.md
Tencent-Hunyuan HY-WU 35bb4695a24d81aba91ee2100088ca52.md,Tencent-Hunyuan/HY-WU,ingested-entity-card,,Knowledge/AI-Image-Midjourney/tencent-hunyuan-hy-wu.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Tencent-Hunyuan HY-WU 35bb4695a24d81aba91ee2100088ca52.md
Tencent-Hunyuan HY-WU 35bb4695a24d81ffa97aff853b485728.md,Tencent-Hunyuan/HY-WU,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Tencent-Hunyuan HY-WU 35bb4695a24d81ffa97aff853b485728.md
Tencent-Hunyuan Hunyuan3D-2 1 e3ac6d9ffa774b95a937dfeaa89fa645.md,Tencent-Hunyuan/Hunyuan3D-2.1,ingested-entity-card,,Knowledge/AI-3D/tencent-hunyuan-hunyuan3d-2-1.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Tencent-Hunyuan Hunyuan3D-2 1 e3ac6d9ffa774b95a937dfeaa89fa645.md
Tencent-Hunyuan HunyuanCustom c46633a8cf09462f9c98ff1139619bc9.md,Tencent-Hunyuan/HunyuanCustom,ingested-entity-card,,Knowledge/AI-Video/tencent-hunyuan-hunyuancustom.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-04/Tencent-Hunyuan HunyuanCustom c46633a8cf09462f9c98ff1139619bc9.md
