source_file,title,disposition,detail,destination,archived_to
GitHub - Open-Magic-Video Magic-1-For-1 0371da35883e4dc891f01f533e2313f1.md,GitHub - Open-Magic-Video/Magic-1-For-1,ingested-entity-card,,Knowledge/AI-Video/github-open-magic-video-magic-1-for-1.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - Open-Magic-Video Magic-1-For-1 0371da35883e4dc891f01f533e2313f1.md
GitHub - Saiyan-World goku Video Generation Founda cb2c3d6d92f04e26961398bc3d836e61.md,GitHub - Saiyan-World/goku: Video Generation Foundation Models: https://saiyan-world.github.io/goku/,ingested-entity-card,,Knowledge/AI-Video/github-saiyan-world-goku-video-generation-foundation-models-https-saiyan-world-github-io-goku.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - Saiyan-World goku Video Generation Founda cb2c3d6d92f04e26961398bc3d836e61.md
GitHub - microsoft DAViD 0a3dc137e51248ba94bf58c1389807e1.md,GitHub - microsoft/DAViD,ingested-entity-card,,Knowledge/AI-Image-Midjourney/github-microsoft-david.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - microsoft DAViD 0a3dc137e51248ba94bf58c1389807e1.md
GitHub - microsoft DAViD e32f1e88b6c04a01b95e6765eb123bf9.md,GitHub - microsoft/DAViD,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - microsoft DAViD e32f1e88b6c04a01b95e6765eb123bf9.md
GitHub - microsoft TRELLIS Official repo for paper 5ef2f4326a0c4c32a6322b308b28398a.md,"GitHub - microsoft/TRELLIS: Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"".",ingested-entity-card,,Knowledge/AI-3D/github-microsoft-trellis-official-repo-for-paper-structured-3d-latents-for-scalable-and-versatile-3d-generatio.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - microsoft TRELLIS Official repo for paper 5ef2f4326a0c4c32a6322b308b28398a.md
Github 176b4695a24d80bc8936f16440bf5002.md,Github,ingested-entity-card,,Knowledge/General-AI-VFX/github.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Github 176b4695a24d80bc8936f16440bf5002.md
Google AI Proposes TransformerFAM A Novel Transfor b14715677da640cfa1e6e75f95d5d8ca.md,Google AI Proposes TransformerFAM: A Novel Transformer Architecture that Leverages a Feedback Loop to Enable the Neural Network to Attend to Its Latent Representations,ingested-substantive-note,,Notes/Notion-Dump/google-ai-proposes-transformerfam-a-novel-transformer-architecture-that-leverages-a-feedback-loop-to-enable-th.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Google AI Proposes TransformerFAM A Novel Transfor b14715677da640cfa1e6e75f95d5d8ca.md
Google DeepMind b9d73b7f02ac40ad96c8d31cf3f33ca0.md,Google DeepMind,already-ingested,exact:Knowledge/AI-Agents/google-deepmind.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Google DeepMind b9d73b7f02ac40ad96c8d31cf3f33ca0.md
Google's 9 Hour AI Prompt Engineering Course In 20 181b4695a24d816cb8a5d9b5444f1f5d.md,Google's 9 Hour AI Prompt Engineering Course In 20 Minutes,ingested-entity-card,,Knowledge/AI-Agents/google-s-9-hour-ai-prompt-engineering-course-in-20-minutes.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Google's 9 Hour AI Prompt Engineering Course In 20 181b4695a24d816cb8a5d9b5444f1f5d.md
Google's 9 Hour AI Prompt Engineering Course In 20 184b4695a24d81f595add3de994a1bea.md,Google's 9 Hour AI Prompt Engineering Course In 20 Minutes,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Google's 9 Hour AI Prompt Engineering Course In 20 184b4695a24d81f595add3de994a1bea.md
Graphic design trends for 2026 2ceb4695a24d809a9cebcc5ff7d2987d.md,Graphic design trends for 2026,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Graphic design trends for 2026 2ceb4695a24d809a9cebcc5ff7d2987d.md
Guide to filming cinematic videos 2d9b4695a24d8060a6e2ea170721b35e.md,Guide to filming cinematic videos,ingested-entity-card,,Knowledge/Filmmaking/guide-to-filming-cinematic-videos.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Guide to filming cinematic videos 2d9b4695a24d8060a6e2ea170721b35e.md
HY-Motion-1 0 2deb4695a24d815c8621ccaa6c61b524.md,HY-Motion-1.0,ingested-entity-card,,Knowledge/Motion-Capture/hy-motion-1-0.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HY-Motion-1 0 2deb4695a24d815c8621ccaa6c61b524.md
HiDream-ai HiDream-E1 1311a99273f64662b1f1700498261e21.md,HiDream-ai/HiDream-E1,ingested-entity-card,,Knowledge/AI-Image-Midjourney/hidream-ai-hidream-e1.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HiDream-ai HiDream-E1 1311a99273f64662b1f1700498261e21.md
HiStream 2deb4695a24d8173b32ef994eef3c653.md,HiStream,ingested-entity-card,,Knowledge/AI-Video/histream.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HiStream 2deb4695a24d8173b32ef994eef3c653.md
Higgs Audio v3 379b4695a24d8144b186ea9f536d18c6.md,Higgs Audio v3,already-ingested,exact:Knowledge/AI-Audio/higgs-audio-v3.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Higgs Audio v3 379b4695a24d8144b186ea9f536d18c6.md
Higgs Audio v3 379b4695a24d81549895e358e2892dbd.md,Higgs Audio v3,already-ingested,exact:Knowledge/AI-Audio/higgs-audio-v3.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Higgs Audio v3 379b4695a24d81549895e358e2892dbd.md
Higgs Audio v3 379b4695a24d8169a818faf395dc900a.md,Higgs Audio v3,already-ingested,exact:Knowledge/AI-Audio/higgs-audio-v3.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Higgs Audio v3 379b4695a24d8169a818faf395dc900a.md
Higgs Audio v3 379b4695a24d81e99000f543f9a33aa6.md,Higgs Audio v3,already-ingested,exact:Knowledge/AI-Audio/higgs-audio-v3.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Higgs Audio v3 379b4695a24d81e99000f543f9a33aa6.md
Houdini 20 5 Sneak Peek - YouTube - Houdini 8d6d3d37e22646a4bcbdcaad15e276de.md,Houdini 20.5 Sneak Peek - YouTube - Houdini,ingested-entity-card,,Knowledge/VFX/houdini-20-5-sneak-peek-youtube-houdini.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Houdini 20 5 Sneak Peek - YouTube - Houdini 8d6d3d37e22646a4bcbdcaad15e276de.md
How To Create Viral MONETIZABLE Ai Films Videos -- a9e8b49e06364eceb7d1b2b3057ee437.md,How To Create Viral MONETIZABLE Ai Films/Videos --Full Course ($970 weekly) - YouTube - Cash-Coach,ingested-entity-card,,Knowledge/General-AI-VFX/how-to-create-viral-monetizable-ai-films-videos-full-course-970-weekly-youtube-cash-coach.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/How To Create Viral MONETIZABLE Ai Films Videos -- a9e8b49e06364eceb7d1b2b3057ee437.md
How to Create Irresistible Hooks (and blow up your 184b4695a24d816691dfed2039dec4e9.md,How to Create Irresistible Hooks (and blow up your content),ingested-entity-card,,Knowledge/General-AI-VFX/how-to-create-irresistible-hooks-and-blow-up-your-content.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/How to Create Irresistible Hooks (and blow up your 184b4695a24d816691dfed2039dec4e9.md
How to Tell Better Stories Than 97% of People Usin 333b4695a24d81f392f9d25899ee5ae5.md,How to Tell Better Stories Than 97% of People Using the PAST Framework,ingested-entity-card,,Knowledge/AI-Video/how-to-tell-better-stories-than-97-of-people-using-the-past-framework.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/How to Tell Better Stories Than 97% of People Usin 333b4695a24d81f392f9d25899ee5ae5.md
Hunyuan 2b0b4695a24d809c87e4c9944a5bb860.md,Hunyuan,ingested-entity-card,,Knowledge/AI-Agents/hunyuan.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Hunyuan 2b0b4695a24d809c87e4c9944a5bb860.md
Hunyuan Video 1 5 — Camera Movement Prompting 2cbb4695a24d80219a94e130b495afd1.md,Hunyuan Video 1.5 — Camera Movement Prompting,ingested-entity-card,,Knowledge/AI-Video/hunyuan-video-1-5-camera-movement-prompting.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Hunyuan Video 1 5 — Camera Movement Prompting 2cbb4695a24d80219a94e130b495afd1.md
Hunyuan3D-Part 2aeb4695a24d81ee8f5ee38ad1c652f5.md,Hunyuan3D-Part,ingested-entity-card,,Knowledge/AI-3D/hunyuan3d-part.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Hunyuan3D-Part 2aeb4695a24d81ee8f5ee38ad1c652f5.md
HunyuanImage-3 0 2aeb4695a24d8152841ffcc27e82c6ef.md,HunyuanImage-3.0,ingested-entity-card,,Knowledge/AI-Image-Midjourney/hunyuanimage-3-0.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HunyuanImage-3 0 2aeb4695a24d8152841ffcc27e82c6ef.md
HunyuanVideo-1 5 2b6b4695a24d81e5be10e1d57a1f7d45.md,HunyuanVideo-1.5,ingested-entity-card,,Knowledge/AI-Image-Midjourney/hunyuanvideo-1-5.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HunyuanVideo-1 5 2b6b4695a24d81e5be10e1d57a1f7d45.md
HunyuanWorld-Mirror 2acb4695a24d814ba03cd9d995926c6c.md,HunyuanWorld-Mirror,ingested-entity-card,,Knowledge/VFX/hunyuanworld-mirror.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/HunyuanWorld-Mirror 2acb4695a24d814ba03cd9d995926c6c.md
IOC - Refugee Olympic Team - 'making of' 99979c5eac4a4189ae389c34b2595fcc.md,IOC - Refugee Olympic Team - 'making of',ingested-entity-card,,Knowledge/AI-Video/ioc-refugee-olympic-team-making-of.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/IOC - Refugee Olympic Team - 'making of' 99979c5eac4a4189ae389c34b2595fcc.md
Ideogram v4 379b4695a24d8113b894eb70421b1990.md,Ideogram v4,already-ingested,exact:Knowledge/AI-Image/ideogram-v4.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Ideogram v4 379b4695a24d8113b894eb70421b1990.md
Ideogram v4 379b4695a24d811db5cec5e5fcbf58ba.md,Ideogram v4,already-ingested,exact:Knowledge/AI-Image/ideogram-v4.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Ideogram v4 379b4695a24d811db5cec5e5fcbf58ba.md
Ideogram v4 379b4695a24d81db904ac2ec22373f09.md,Ideogram v4,already-ingested,exact:Knowledge/AI-Image/ideogram-v4.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Ideogram v4 379b4695a24d81db904ac2ec22373f09.md
Ideogram v4 379b4695a24d81e4a8e7eebb0c54b033.md,Ideogram v4,already-ingested,exact:Knowledge/AI-Image/ideogram-v4.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Ideogram v4 379b4695a24d81e4a8e7eebb0c54b033.md
ImmerseGen bd63db6b59e04d71b2255bc6bd2f886f.md,ImmerseGen,ingested-entity-card,,Knowledge/AI-Agents/immersegen.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/ImmerseGen bd63db6b59e04d71b2255bc6bd2f886f.md
InfCam 2ddb4695a24d81c384c9c589fc4bb90d.md,InfCam,ingested-entity-card,,Knowledge/AI-Agents/infcam.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/InfCam 2ddb4695a24d81c384c9c589fc4bb90d.md
InfiniteYou-FLUX - a Hugging Face Space by ByteDan 09dad14d479447b4a1e670fe4e9d8207.md,InfiniteYou-FLUX - a Hugging Face Space by ByteDance,ingested-entity-card,,Knowledge/AI-Image-Midjourney/infiniteyou-flux-a-hugging-face-space-by-bytedance.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/InfiniteYou-FLUX - a Hugging Face Space by ByteDan 09dad14d479447b4a1e670fe4e9d8207.md
InfinityStar 2adb4695a24d811ca938d391ae9eb7f4.md,InfinityStar,ingested-entity-card,,Knowledge/VFX/infinitystar.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/InfinityStar 2adb4695a24d811ca938d391ae9eb7f4.md
InspireMusic Homepage 25ebb66a26624a758b6750a6d8f5492d.md,InspireMusic Homepage,ingested-entity-card,,Knowledge/Audio-Fusion/inspiremusic-homepage.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/InspireMusic Homepage 25ebb66a26624a758b6750a6d8f5492d.md
"Introducing SceneScript, a novel approach for 3D s 171ec99b0eef4b31a5895d6225a4e311.md","Introducing SceneScript, a novel approach for 3D scene reconstruction",ingested-substantive-note,,Notes/Notion-Dump/introducing-scenescript-a-novel-approach-for-3d-scene-reconstruction.md,"raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Introducing SceneScript, a novel approach for 3D s 171ec99b0eef4b31a5895d6225a4e311.md"
Introduction - SITUATIONAL AWARENESS The Decade Ah 24af39f3a54a434fb0e4dea68efd49e4.md,Introduction - SITUATIONAL AWARENESS: The Decade Ahead,ingested-entity-card,,Knowledge/AI-Agents/introduction-situational-awareness-the-decade-ahead.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Introduction - SITUATIONAL AWARENESS The Decade Ah 24af39f3a54a434fb0e4dea68efd49e4.md
Introduction to Faceform Neural Profile - YouTube  eb11e66171d14950b83a14d782ac8978.md,Introduction to Faceform Neural Profile - YouTube - Faceform,ingested-entity-card,,Knowledge/AI-Video/introduction-to-faceform-neural-profile-youtube-faceform.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Introduction to Faceform Neural Profile - YouTube  eb11e66171d14950b83a14d782ac8978.md
It's Time For Gaussian Splatting Tutorial 188b4695a24d816d9fb9d243977d632d.md,It's Time For Gaussian Splatting // Tutorial,ingested-entity-card,,Knowledge/AI-3D/it-s-time-for-gaussian-splatting-tutorial.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/It's Time For Gaussian Splatting Tutorial 188b4695a24d816d9fb9d243977d632d.md
JAMESYJL ShapeLLM-Omni 85b8b43b0193479382079eb5e3b8f1c9.md,JAMESYJL/ShapeLLM-Omni,ingested-entity-card,,Knowledge/AI-3D/jamesyjl-shapellm-omni.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/JAMESYJL ShapeLLM-Omni 85b8b43b0193479382079eb5e3b8f1c9.md
Jason Key Experiments by hirokazu yokohara demonst 6c69774b373d471698ccb917af22cff2.md,"Jason Key: ""Experiments by hirokazu yokohara demonstrating real-time fluid simulation and stylized rendering using StreamDiffusion, LiquiGen & EmberGen""",ingested-entity-card,,Knowledge/AI-Video/jason-key-experiments-by-hirokazu-yokohara-demonstrating-real-time-fluid-simulation-and-stylized-rendering-usi.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Jason Key Experiments by hirokazu yokohara demonst 6c69774b373d471698ccb917af22cff2.md
JavisGPT 2deb4695a24d81ce90baf950aa9a65f2.md,JavisGPT,ingested-entity-card,,Knowledge/AI-Agents/javisgpt.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/JavisGPT 2deb4695a24d81ce90baf950aa9a65f2.md
KwaiVGI ReCamMaster fb9abd524bc9424cab10ccdfc6f3e656.md,KwaiVGI/ReCamMaster,ingested-entity-card,,Knowledge/AI-Video/kwaivgi-recammaster.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/KwaiVGI ReCamMaster fb9abd524bc9424cab10ccdfc6f3e656.md
LYL1015 JarvisArt JarvisArt fbf65ba2731541199a4d64a56a41f38d.md,LYL1015/JarvisArt: JarvisArt,ingested-entity-card,,Knowledge/AI-Image-Midjourney/lyl1015-jarvisart-jarvisart.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/LYL1015 JarvisArt JarvisArt fbf65ba2731541199a4d64a56a41f38d.md
Light-A-Video 73091a21bd5c439c9d8071d8fb1b0c2f.md,Light-A-Video,ingested-substantive-note,,Notes/Notion-Dump/light-a-video.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Light-A-Video 73091a21bd5c439c9d8071d8fb1b0c2f.md
LightLab Controlling Light Sources in Images with  b353a794c1644c93a2e61a0f0579a284.md,LightLab: Controlling Light Sources in Images with Diffusion Models,ingested-entity-card,,Knowledge/AI-Image-Midjourney/lightlab-controlling-light-sources-in-images-with-diffusion-models.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/LightLab Controlling Light Sources in Images with  b353a794c1644c93a2e61a0f0579a284.md
Lightricks ComfyUI-LTXVideo 5bc15e3ae2144a95b01874e4f8cb0ecd.md,Lightricks/ComfyUI-LTXVideo,ingested-entity-card,,Knowledge/AI-Image-Midjourney/lightricks-comfyui-ltxvideo.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Lightricks ComfyUI-LTXVideo 5bc15e3ae2144a95b01874e4f8cb0ecd.md
LongCat-Video 2d5b4695a24d81268ffdca167c4e1ac1.md,LongCat-Video,ingested-entity-card,,Knowledge/AI-Image-Midjourney/longcat-video.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/LongCat-Video 2d5b4695a24d81268ffdca167c4e1ac1.md
LongCat‑Flash‑Chat 2adb4695a24d8176b2f1f29d86f3fbb0.md,LongCat‑Flash‑Chat,ingested-entity-card,,Knowledge/VFX/longcat-flash-chat.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/LongCat‑Flash‑Chat 2adb4695a24d8176b2f1f29d86f3fbb0.md
LongLive 2aeb4695a24d8184b439fdb9bd1189a3.md,LongLive,ingested-entity-card,,Knowledge/AI-Agents/longlive.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/LongLive 2aeb4695a24d8184b439fdb9bd1189a3.md
Lucy-Edit-ComfyUI 2adb4695a24d812786dcd734507ee2b2.md,Lucy-Edit-ComfyUI,ingested-entity-card,,Knowledge/VFX/lucy-edit-comfyui.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Lucy-Edit-ComfyUI 2adb4695a24d812786dcd734507ee2b2.md
Luka Tisler Object removal in video with ComfyUI!  d7773b30863a49ff8c0fae9546c64a13.md,"Luka Tisler: ""Object removal in video with ComfyUI!",ingested-entity-card,,Knowledge/AI-Image-Midjourney/luka-tisler-object-removal-in-video-with-comfyui.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Luka Tisler Object removal in video with ComfyUI!  d7773b30863a49ff8c0fae9546c64a13.md
Lumos-Custom 2adb4695a24d8112a8ddda222b0bcf42.md,Lumos-Custom,ingested-entity-card,,Knowledge/VFX/lumos-custom.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Lumos-Custom 2adb4695a24d8112a8ddda222b0bcf42.md
Lynx 2aeb4695a24d8191967bf19eb696bdab.md,Lynx,ingested-entity-card,,Knowledge/AI-Image-Midjourney/lynx.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Lynx 2aeb4695a24d8191967bf19eb696bdab.md
Lyra 2aeb4695a24d81c18462c39541c5a791.md,Lyra,already-ingested,exact:Knowledge/AI-3D/lyra.md,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Lyra 2aeb4695a24d81c18462c39541c5a791.md
MMAudio — generating synchronized audio from video 4af6f2a7390441519d1986612d88c7e5.md,MMAudio — generating synchronized audio from video/text,already-ingested,word-match:Knowledge/Audio-Fusion/m-maudio.md:0.80,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/MMAudio — generating synchronized audio from video 4af6f2a7390441519d1986612d88c7e5.md
MOSS-TTS 335b4695a24d8152b730c48b142d6c06.md,MOSS-TTS,ingested-entity-card,,Knowledge/Audio-Fusion/moss-tts.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/MOSS-TTS 335b4695a24d8152b730c48b142d6c06.md
MVInverse 2ddb4695a24d81d398b0e12b0fae2729.md,MVInverse,ingested-entity-card,,Knowledge/AI-Agents/mvinverse.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/MVInverse 2ddb4695a24d81d398b0e12b0fae2729.md
Machine Learning with ONNX in Houdini 20 – Entagma 912a4fa8542a41d09492ba5c6456881b.md,Machine Learning with ONNX in Houdini 20 – Entagma,ingested-entity-card,,Knowledge/VFX/machine-learning-with-onnx-in-houdini-20-entagma.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Machine Learning with ONNX in Houdini 20 – Entagma 912a4fa8542a41d09492ba5c6456881b.md
Magma RT2 379b4695a24d811680e8fb17a20d4498.md,Magma RT2,already-ingested,word-match:Knowledge/Music-Production/magma-rt2.md:1.00,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Magma RT2 379b4695a24d811680e8fb17a20d4498.md
Magma RT2 379b4695a24d816bbc59d28f8df8f3cc.md,Magma RT2,already-ingested,word-match:Knowledge/Music-Production/magma-rt2.md:1.00,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Magma RT2 379b4695a24d816bbc59d28f8df8f3cc.md
Magma RT2 379b4695a24d81978bc7cecd8465a7b9.md,Magma RT2,already-ingested,word-match:Knowledge/Music-Production/magma-rt2.md:1.00,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Magma RT2 379b4695a24d81978bc7cecd8465a7b9.md
Magma RT2 379b4695a24d81f78123fdd549b0d0fe.md,Magma RT2,already-ingested,word-match:Knowledge/Music-Production/magma-rt2.md:1.00,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Magma RT2 379b4695a24d81f78123fdd549b0d0fe.md
Mamba Explained d012488b02e244678bab964105704688.md,Mamba Explained,ingested-substantive-note,,Notes/Notion-Dump/mamba-explained.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Mamba Explained d012488b02e244678bab964105704688.md
Mamma 379b4695a24d812ea076e330f48d7b59.md,Mamma,ingested-entity-card,,Knowledge/VFX/mamma.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Mamma 379b4695a24d812ea076e330f48d7b59.md
Mamma 379b4695a24d8191b22ee621a9f4244a.md,Mamma,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Mamma 379b4695a24d8191b22ee621a9f4244a.md
Mamma 379b4695a24d81969bd8c0e99b0d5aa3.md,Mamma,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Mamma 379b4695a24d81969bd8c0e99b0d5aa3.md
Mamma 379b4695a24d819fa7bdfa93709150ed.md,Mamma,duplicate-within-batch,same normalized title in current batch,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Mamma 379b4695a24d819fa7bdfa93709150ed.md
Material Anything Generating Materials for Any 3D  20309fb12bfb4aa2822725869e28838a.md,Material Anything: Generating Materials for Any 3D Object via Diffusion,ingested-entity-card,,Knowledge/AI-3D/material-anything-generating-materials-for-any-3d-object-via-diffusion.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Material Anything Generating Materials for Any 3D  20309fb12bfb4aa2822725869e28838a.md
MeiGen-AI MultiTalk Let Them Talk e131f0fa839c4cb7893c22459171e1bd.md,MeiGen-AI/MultiTalk: Let Them Talk,ingested-entity-card,,Knowledge/Audio-Fusion/meigen-ai-multitalk-let-them-talk.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/MeiGen-AI MultiTalk Let Them Talk e131f0fa839c4cb7893c22459171e1bd.md
