source_file,title,disposition,detail,destination,archived_to
Fugatto 1 - Foundational Generative Audio Transfor 0900f98d757d4681abed7c23cb328efe.md,Fugatto 1 - Foundational Generative Audio Transformer Opus 1 | Research,ingested-entity-card,,Knowledge/Audio-Fusion/fugatto-1-foundational-generative-audio-transformer-opus-1-research.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Fugatto 1 - Foundational Generative Audio Transfor 0900f98d757d4681abed7c23cb328efe.md
FunAudioLLM ThinkSound d6c335846d594cb7a765bdbd82402996.md,FunAudioLLM/ThinkSound,ingested-entity-card,,Knowledge/Audio-Fusion/funaudiollm-thinksound.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/FunAudioLLM ThinkSound d6c335846d594cb7a765bdbd82402996.md
Funky Hands Making of (in collab with u Exact-Ad-1 c252ff921af44ed9a26b53d7a824668e.md,"Funky Hands ""Making of"" (in collab with u/Exact-Ad-1847) : r/StableDiffusion",ingested-entity-card,,Knowledge/AI-Video/funky-hands-making-of-in-collab-with-u-exact-ad-1847-r-stablediffusion.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Funky Hands Making of (in collab with u Exact-Ad-1 c252ff921af44ed9a26b53d7a824668e.md
GBR Generative Bundle Refinement for High-fidelity cc8265d1542a40c9b943e1b618654cb1.md,GBR: Generative Bundle Refinement for High-fidelity Gaussian Splatting and Meshing,ingested-entity-card,,Knowledge/AI-3D/gbr-generative-bundle-refinement-for-high-fidelity-gaussian-splatting-and-meshing.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GBR Generative Bundle Refinement for High-fidelity cc8265d1542a40c9b943e1b618654cb1.md
Generating Worlds bbbf5087b4254dcea9390f594ce67c4a.md,Generating Worlds,already-ingested,word-match:Knowledge/AI-3D/a-recipe-for-generating-3d-worlds-from-a-single-image-katja-schwarz.md:1.00,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Generating Worlds bbbf5087b4254dcea9390f594ce67c4a.md
Generative Omnimatte Learning to Decompose Video i 17d69b7bd19448efa95d02c80d1a3769.md,Generative Omnimatte: Learning to Decompose Video into Layers,ingested-substantive-note,,Notes/Notion-Dump/generative-omnimatte-learning-to-decompose-video-into-layers.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Generative Omnimatte Learning to Decompose Video i 17d69b7bd19448efa95d02c80d1a3769.md
Genfocus 2ddb4695a24d8142abf8ff6fa63156f3.md,Genfocus,ingested-entity-card,,Knowledge/AI-Image-Midjourney/genfocus.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Genfocus 2ddb4695a24d8142abf8ff6fa63156f3.md
Genie 3 A New Frontier for World Models 5d853cc59f494b5e961bb57a866e66aa.md,Genie 3: A New Frontier for World Models,ingested-entity-card,,Knowledge/AI-3D/genie-3-a-new-frontier-for-world-models.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Genie 3 A New Frontier for World Models 5d853cc59f494b5e961bb57a866e66aa.md
GeoVista 2d3b4695a24d817ca80afe7046471299.md,GeoVista,ingested-entity-card,,Knowledge/AI-Image-Midjourney/geovista.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GeoVista 2d3b4695a24d817ca80afe7046471299.md
Get Rich with AI 176b4695a24d80ccbb85d34d637951c3.md,Get Rich with AI,excluded-nontechnical,personal/lifestyle item; archived without knowledge card,,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/Get Rich with AI 176b4695a24d80ccbb85d34d637951c3.md
GitHub - NUS-HPC-AI-Lab Enhance-A-Video Enhance-A- c9bd71aa3f9643f6adcba6bda0349448.md,GitHub - NUS-HPC-AI-Lab/Enhance-A-Video: Enhance-A-Video: Better Generated Video for Free,ingested-entity-card,,Knowledge/AI-Video/github-nus-hpc-ai-lab-enhance-a-video-enhance-a-video-better-generated-video-for-free.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-02/GitHub - NUS-HPC-AI-Lab Enhance-A-Video Enhance-A- c9bd71aa3f9643f6adcba6bda0349448.md
